Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides U2932_L1_rep1,Peptides U2932_L1_rep2,Razor + unique peptides U2932_L1_rep1,Razor + unique peptides U2932_L1_rep2,Unique peptides U2932_L1_rep1,Unique peptides U2932_L1_rep2,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Q-value,Score,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L iso-count,Ratio H/L type,Ratio H/L U2932_L1_rep1,Ratio H/L normalized U2932_L1_rep1,Ratio H/L variability [%] U2932_L1_rep1,Ratio H/L count U2932_L1_rep1,Ratio H/L iso-count U2932_L1_rep1,Ratio H/L type U2932_L1_rep1,Ratio H/L U2932_L1_rep2,Ratio H/L normalized U2932_L1_rep2,Ratio H/L variability [%] U2932_L1_rep2,Ratio H/L count U2932_L1_rep2,Ratio H/L iso-count U2932_L1_rep2,Ratio H/L type U2932_L1_rep2,Sequence coverage U2932_L1_rep1 [%],Sequence coverage U2932_L1_rep2 [%],Intensity,Intensity L,Intensity H,Intensity U2932_L1_rep1,Intensity L U2932_L1_rep1,Intensity H U2932_L1_rep1,Intensity U2932_L1_rep2,Intensity L U2932_L1_rep2,Intensity H U2932_L1_rep2,Only identified by site,Reverse,Potential contaminant,id,Peptide IDs,Peptide is razor,Mod. peptide IDs,Evidence IDs,MS/MS IDs,Best MS/MS,Deamidation (N) site IDs,Oxidation (M) site IDs,Deamidation (N) site positions,Oxidation (M) site positions
B3KPA6;Q53HR2;B4DEA8;P49748-2;P49748;P49748-3;J3KS89;K7EJW8;J3QRJ8;J3KSR4;K7EQP4;B4DYY0;G3V1M7;B3KPX1,B3KPA6;Q53HR2;B4DEA8;P49748-2;P49748;P49748-3,3;3;3;3;3;3;1;1;1;1;1;1;1;1,3;3;3;3;3;3;1;1;1;1;1;1;1;1,3;3;3;3;3;3;1;1;1;1;1;1;1;1,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",ACADVL,">tr|B3KPA6|B3KPA6_HUMAN Acyl-Coenzyme A dehydrogenase, very long chain, isoform CRA_e OS=Homo sapiens GN=ACADVL PE=2 SV=1;>tr|Q53HR2|Q53HR2_HUMAN Acyl-Coenzyme A dehydrogenase, very long chain variant (Fragment) OS=Homo sapiens PE=2 SV=1;>tr|B4DEA8|B4DEA8_",14,3,3,3,3,1,3,1,3,1,5.2,5.2,5.2,62.581,579,579;655;701;633;655;678;76;158;194;204;225;275;282;356,0,16.968,0.5908,0.94482,14.996,4,0,Median,0.57379,0.92488,16.162,3,0,Median,NaN,NaN,NaN,1,0,Median,5.2,1.7,23530000,15551000,7979600,20212000,13514000,6698300,3317900,2036700,1281200,,,,352,1704;3170;7289,True;True;True,1751;3240;7482,5139;9403;9404;21982,8017;14456;14457;33444,8017;14457;33444,,,,
B3KN05;B2RBE0;O95573;F5GWH2,B3KN05;B2RBE0;O95573;F5GWH2,2;2;2;1,1;1;1;1,1;1;1;1,Long-chain-fatty-acid--CoA ligase 3,ACSL3,">tr|B3KN05|B3KN05_HUMAN cDNA FLJ13129 fis, clone NT2RP3002969, highly similar to Long-chain-fatty-acid--CoA ligase 3 (EC 6.2.1.3) OS=Homo sapiens PE=2 SV=1;>tr|B2RBE0|B2RBE0_HUMAN cDNA, FLJ95462, highly similar to Homo sapiens fatty-acid-Coenzyme A ligase,",4,2,1,1,1,2,1,1,1,1,3,1.4,1.4,79.222,709,709;720;720;141,0,7.5678,0.75094,0.9447,45.078,2,0,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,0,Median,1.4,3,136120000,80060000,56061000,73102000,42268000,30834000,63018000,37792000,25226000,,,,290,4853;7245,False;True,4972;7435,14629;21854;21855,22596;33254;33255;33256;33257,22596;33254,,,,
B4DKN9;Q5JR08;E9PN11;P61586;P08134;Q5JR07;C9JNR4;E9PQH6;C9JX21;Q5JR05;E9PLA2;C9J1T2;C9JRM1;Q5JR06;Q9BVT0;U3KQA9;U3KQV3,B4DKN9;Q5JR08;E9PN11;P61586;P08134;Q5JR07;C9JNR4;E9PQH6;C9JX21;Q5JR05;E9PLA2;C9J1T2;C9JRM1;Q5JR06;Q9BVT0;U3KQA9;U3KQV3,6;6;6;6;6;5;5;5;5;5;3;3;3;3;3;3;3,6;6;6;6;6;5;5;5;5;5;3;3;3;3;3;3;3,6;6;6;6;6;5;5;5;5;5;3;3;3;3;3;3;3,Transforming protein RhoA;Rho-related GTP-binding protein RhoC,RHOC;RHOA;ARHA,">tr|B4DKN9|B4DKN9_HUMAN cDNA FLJ57740, highly similar to Transforming protein RhoA OS=Homo sapiens PE=2 SV=1;>tr|Q5JR08|Q5JR08_HUMAN Rho-related GTP-binding protein RhoC (Fragment) OS=Homo sapiens GN=RHOC PE=2 SV=1;>tr|E9PN11|E9PN11_HUMAN Rho-related GTP-b",17,6,6,6,6,4,6,4,6,4,20.8,20.8,20.8,19.57,173,173;189;229;193;193;127;129;169;187;199;66;86;90;92;101;249;272,0,46.335,0.70042,0.94357,10.931,15,0,Median,0.68955,0.93147,13.057,8,0,Median,0.70824,0.97105,8.3655,7,0,Median,20.8,15.6,1312600000,751740000,560870000,1000100000,565580000,434530000,312500000,186160000,126340000,,,,452,1870;2801;2802;3833;3906;5150,True;True;True;True;True;True,1919;2862;2863;3922;3998;5276,5676;8151;8152;8153;8154;8155;8156;8157;8158;8159;8160;11495;11734;11735;11736;11737;15703;15704;15705;15706,8802;12469;12470;12471;12472;12473;12474;12475;12476;12477;12478;12479;12480;12481;12482;12483;12484;12485;12486;12487;12488;12489;17794;18133;18134;18135;18136;24114;24115;24116;24117;24118;24119,8802;12473;12477;17794;18134;24119,,,,
B4DQ92;E7EVW7;P14317;B4DTP2;B4DQ69,B4DQ92;E7EVW7;P14317,9;7;7;3;3,9;7;7;3;3,9;7;7;3;3,Hematopoietic lineage cell-specific protein,HCLS1,">tr|B4DQ92|B4DQ92_HUMAN cDNA FLJ59379, highly similar to Hematopoietic lineage cell-specific protein OS=Homo sapiens PE=2 SV=1;>tr|E7EVW7|E7EVW7_HUMAN Hematopoietic lineage cell-specific protein OS=Homo sapiens GN=HCLS1 PE=2 SV=1;>sp|P14317|HCLS1_HUMAN Hem",5,9,9,9,8,8,8,8,8,8,21.2,21.2,21.2,49.616,449,449;449;486;139;209,0,77.278,0.61747,0.94355,25.147,46,0,Median,0.62838,0.96084,31.971,24,0,Median,0.5927,0.93655,10.428,22,0,Median,17.6,20.9,3316500000,2002000000,1314500000,1928900000,1164800000,764060000,1387600000,837130000,550470000,,,,491,830;1532;2343;4022;5974;6374;7000;7353;8018,True;True;True;True;True;True;True;True;True,843;1573;2399;4117;6146;6550;7184;7548;8238,2566;2567;2568;2569;4576;4577;4578;4579;4580;4581;4582;4583;4584;6834;6835;6836;6837;12092;17982;19180;19181;19182;19183;19184;21116;21117;21118;21119;21120;21121;21122;21123;21124;21125;21126;22144;22145;22146;22147;22148;22149;24567;24568;24569;24570;24571;24572;24573;24574,4130;4131;4132;4133;4134;4135;4136;7198;7199;7200;7201;7202;7203;7204;7205;7206;7207;7208;7209;7210;7211;7212;7213;7214;10474;10475;10476;10477;10478;18675;27465;29263;29264;29265;29266;29267;29268;29269;29270;32129;32130;32131;32132;32133;32134;32135;32136;32137;32138;32139;32140;32141;32142;32143;33688;33689;33690;33691;33692;33693;33694;37323;37324;37325;37326;37327;37328;37329;37330;37331;37332,4132;7208;10474;18675;27465;29269;32134;33692;37331,,,,
A4D1X5;Q92556;B4DJV6;Q92556-2;Q92556-3;B4DVN0;H7C0N5;C9JIW2;C9IZR8;H7C0S6;H7C3P3,A4D1X5;Q92556;B4DJV6,5;5;4;2;2;1;1;1;1;1;1,5;5;4;2;2;1;1;1;1;1;1,5;5;4;2;2;1;1;1;1;1;1,Engulfment and cell motility protein 1,ELMO1,">tr|A4D1X5|A4D1X5_HUMAN Engulfment and cell motility 1 (Ced-12 homolog, C. elegans) OS=Homo sapiens GN=ELMO1 PE=2 SV=1;>sp|Q92556|ELMO1_HUMAN Engulfment and cell motility protein 1 OS=Homo sapiens GN=ELMO1 PE=1 SV=2;>tr|B4DJV6|B4DJV6_HUMAN cDNA FLJ54007, h",11,5,5,5,3,5,3,5,3,5,7.6,7.6,7.6,83.829,727,727;727;631;247;429;113;124;149;167;182;194,0,54.343,0.57418,0.9433,22.685,14,0,Median,0.51456,0.831,26.928,4,0,Median,0.59074,1.0303,16.393,10,0,Median,4.4,7.6,386900000,234910000,151990000,146120000,89517000,56605000,240780000,145390000,95382000,,,,43,496;5100;5126;6353;6537,True;True;True;True;True,506;5226;5252;6529;6714,1426;15522;15523;15524;15525;15626;15627;15628;19146;19147;19607;19608;19609;19610,2183;23842;23843;23844;23845;23846;23847;23848;23849;23979;23980;23981;23982;23983;29222;29223;29862;29863;29864;29865;29866;29867,2183;23842;23979;29223;29866,,,,
Q17RU2;Q04864;B4E1P2,Q17RU2;Q04864;B4E1P2,5;5;4,5;5;4,5;5;4,Proto-oncogene c-Rel,REL,">tr|Q17RU2|Q17RU2_HUMAN Proto-oncogene c-Rel OS=Homo sapiens GN=REL PE=2 SV=1;>sp|Q04864|REL_HUMAN Proto-oncogene c-Rel OS=Homo sapiens GN=REL PE=1 SV=1;>tr|B4E1P2|B4E1P2_HUMAN cDNA FLJ59223, highly similar to C-Rel proto-oncogene protein OS=Homo sapiens P",3,5,5,5,5,3,5,3,5,3,9.4,9.4,9.4,65.224,587,587;619;587,0,36.545,0.59926,0.94262,16.294,8,0,Median,0.60558,0.94653,20.918,5,0,Median,0.59733,0.93873,3.7971,3,0,Median,9.4,5.5,132900000,81897000,51001000,97034000,59747000,37287000,35864000,22150000,13714000,,,,1231,352;2426;5334;5646;6223,True;True;True;True;True,358;2482;5477;5808;6398,940;7065;7066;16211;17073;17074;18806;18807,1459;10800;10801;10802;24856;26135;26136;26137;28751;28752;28753;28754,1459;10800;24856;26136;28754,,,,
Q96T49;Q96T49-2,Q96T49;Q96T49-2,3;2,3;2,3;2,Protein phosphatase 1 regulatory inhibitor subunit 16B,PPP1R16B,>sp|Q96T49|PP16B_HUMAN Protein phosphatase 1 regulatory inhibitor subunit 16B OS=Homo sapiens GN=PPP1R16B PE=1 SV=1;>sp|Q96T49-2|PP16B_HUMAN Isoform 2 of Protein phosphatase 1 regulatory inhibitor subunit 16B OS=Homo sapiens GN=PPP1R16B,2,3,3,3,3,2,3,2,3,2,6.3,6.3,6.3,63.55,567,567;525,0,18.843,0.62132,0.94253,8.4809,6,0,Median,0.64812,1.0132,3.3433,3,0,Median,0.57662,0.8967,6.7831,3,0,Median,6.3,4.2,78909000,47396000,31513000,52459000,31409000,21050000,26450000,15987000,10463000,,,,1440,28;4273;4676,True;True;True,28;4370;4789,58;59;60;61;12828;12829;14186,83;84;85;86;87;19828;19829;19830;21945,84;19830;21945,,,,
O00560-3;O00560,O00560-3;O00560,1;1,1;1,1;1,Syntenin-1,SDCBP,>sp|O00560-3|SDCB1_HUMAN Isoform 3 of Syntenin-1 OS=Homo sapiens GN=SDCBP;>sp|O00560|SDCB1_HUMAN Syntenin-1 OS=Homo sapiens GN=SDCBP PE=1 SV=1,2,1,1,1,1,1,1,1,1,1,6.2,6.2,6.2,31.761,292,292;298,0.003574,6.7267,0.60007,0.94158,8.5034,2,0,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,0,Median,6.2,6.2,17447000,10936000,6510800,7204800,4774000,2430800,10242000,6162300,4080100,,,,944,530,TRUE,540,1528;1529,2336;2337;2338,2336,,,,
H7C1N2;J3KR05;O75128-6;O75128-3;O75128;O75128-7;O75128-2,H7C1N2;J3KR05;O75128-6;O75128-3;O75128;O75128-7;O75128-2,3;3;3;3;3;3;3,3;3;3;3;3;3;3,3;3;3;3;3;3;3,Protein cordon-bleu,COBL,>tr|H7C1N2|H7C1N2_HUMAN Protein cordon-bleu (Fragment) OS=Homo sapiens GN=COBL PE=2 SV=1;>tr|J3KR05|J3KR05_HUMAN Protein cordon-bleu (Fragment) OS=Homo sapiens GN=COBL PE=2 SV=1;>sp|O75128-6|COBL_HUMAN Isoform 6 of Protein cordon-bleu OS=Homo sapiens GN=CO,7,3,3,3,2,1,2,1,2,1,3.5,3.5,3.5,119.04,1106,1106;1146;803;1214;1261;1271;1343,0,17.439,0.63609,0.94079,35.273,3,0,Median,0.48614,0.7607,30.05,2,0,Median,NaN,NaN,NaN,1,0,Median,2.5,1,20901000,13098000,7803600,15212000,10428000,4783900,5689000,2669300,3019700,,,,861,577;2060;7928,True;True;True,588;2111;8146,1656;6104;24273,2528;9433;36873,2528;9433;36873,,,,
A6H8W6;J3KP19;O43166-2;O43166;F5GYF8;B4DYX7;H0YJY2;Q5CZ77,A6H8W6;J3KP19;O43166-2;O43166;F5GYF8;B4DYX7,11;11;11;11;9;9;1;1,11;11;11;11;9;9;1;1,11;11;11;11;9;9;1;1,Signal-induced proliferation-associated 1-like protein 1,SIPA1L1,>tr|A6H8W6|A6H8W6_HUMAN SIPA1L1 protein OS=Homo sapiens GN=SIPA1L1 PE=2 SV=1;>tr|J3KP19|J3KP19_HUMAN Signal-induced proliferation-associated 1-like protein 1 OS=Homo sapiens GN=SIPA1L1 PE=2 SV=1;>sp|O43166-2|SI1L1_HUMAN Isoform 2 of Signal-induced prolifer,8,11,11,11,9,9,9,9,9,9,6.9,6.9,6.9,199.97,1803,1803;1782;1783;1804;1257;1257;262;355,0,77.227,0.60754,0.94026,31.71,19,0,Median,0.60683,0.93456,31.942,10,0,Median,0.625,0.96349,32.366,9,0,Median,5.7,5.5,512680000,329590000,183090000,367280000,241140000,126150000,145400000,88458000,56941000,,,,62,299;1299;2120;2956;4015;5604;6439;6510;6890;8122;8349,True;True;True;True;True;True;True;True;True;True;True,305;1335;2172;3023;4110;5765;6615;6687;7072;8345;8575,798;799;3960;3961;6242;8776;12065;16974;16975;19332;19333;19550;19551;19552;19553;20679;20680;24862;25426;25427,1238;1239;1240;6262;6263;9625;13484;18633;18634;25997;25998;29482;29483;29484;29786;29787;29788;29789;31456;31457;37782;38596;38597;38598,1238;6263;9625;13484;18633;25998;29484;29786;31456;37782;38598,,,,
Q3LAC1;Q3LAC0;M1VNN5;M1V8P5;Q9MYB9;Q8TB62;Q70Q10;A2BFX2;Q29890;Q95HL8;Q31635;Q9BCP8;Q9BCP4;Q861H3;U3RD04;T1R3B5;S4T6R1;S4T6M6;Q9TQ46;Q9TQ43;Q9MYD7;Q9MY65;Q9GJ28;Q95IF0;Q95HL4;Q860E1;Q7JFU9;Q6RCP8;Q58HT8;Q4F6M6;Q45KF7;Q31624;Q1KLJ9;Q19K84;Q0VUQ9;M9PAI2;M9PA12;M9P9Z8;M9P9S9;M9P9S1;M9P9R8;M9P9B3;M9P9A6;M9P9A3;M9P8Q3;M9P8N9;M4YUW9;M4YNP5;M4MEW6;M1KN83;L0HR08;L0HQC7;L0HNE6;K7XHD2;K7QT37;K0DF01;I7DEM0;I7AY81;I6NWR0;I6NVX7;I6NS99;I6NS96;I6NS92;I6NNA1;I6NN95;H9C8Y0;H8WV64;H8WV59;H8WV58;H8WV57;H6A2E7;H2E2A7;H2DML5;H2BDT8;H2BDT6;G9I2Q0;G9HWC8;G9HWC5;G9HWC4;G9HWC2;G9HWC0;G9HRM5;G9FZ59;G8HT88;G4XPM2;G1EN27;G1EN26;G1EN25;G1EN22;G0ZDX9;G0Z8G2;F8SY59;F8SL05;F8RHM0;F8RHL6;F8RHL3;F8RHK3;F4NBL3;F4NBL1;F4NBK7;F4NBK6;F2X667;F2X653;F2X652;F2X649;F1CCQ9;F1CCQ8;F1CCQ5;F1CCM4;E9NVH4;E9NVH1;E3Q0T3;E0WN73;D9IFR0;D3UTA6;D2DL42;D2D3I2;D2D3I0;D2D3H9;D2D3H8;D2D3H7;D2D3H5;D2D3H2;D2D3H1;D2D3H0;D2D3G9;D2D3G3;D0VE51;C8ZLD6;C8CJD7;C8C9W2;C8C9V5;C5E7P4;C0LAB7;B3GDG5;A9YQ96;A8YQE8;A8C5I7;A7UP01;A0AQZ4;A0AQY8;A0AQY6;A0AQY5;A0AQY4;Q30103;U3PUN8;Q56FN8,Q3LAC1;Q3LAC0;M1VNN5;M1V8P5;Q9MYB9;Q8TB62;Q70Q10;A2BFX2;Q29890;Q95HL8;Q31635;Q9BCP8;Q9BCP4;Q861H3;U3RD04;T1R3B5;S4T6R1;S4T6M6;Q9TQ46;Q9TQ43;Q9MYD7;Q9MY65;Q9GJ28;Q95IF0;Q95HL4;Q860E1;Q7JFU9;Q6RCP8;Q58HT8;Q4F6M6;Q45KF7;Q31624;Q1KLJ9;Q19K84;Q0VUQ9;M9PAI2;M9PA12;M9P9Z8;M9P9S9;M9P9S1;M9P9R8;M9P9B3;M9P9A6;M9P9A3;M9P8Q3;M9P8N9;M4YUW9;M4YNP5;M4MEW6;M1KN83;L0HR08;L0HQC7;L0HNE6;K7XHD2;K7QT37;K0DF01;I7DEM0;I7AY81;I6NWR0;I6NVX7;I6NS99;I6NS96;I6NS92;I6NNA1;I6NN95;H9C8Y0;H8WV64;H8WV59;H8WV58;H8WV57;H6A2E7;H2E2A7;H2DML5;H2BDT8;H2BDT6;G9I2Q0;G9HWC8;G9HWC5;G9HWC4;G9HWC2;G9HWC0;G9HRM5;G9FZ59;G8HT88;G4XPM2;G1EN27;G1EN26;G1EN25;G1EN22;G0ZDX9;G0Z8G2;F8SY59;F8SL05;F8RHM0;F8RHL6;F8RHL3;F8RHK3;F4NBL3;F4NBL1;F4NBK7;F4NBK6;F2X667;F2X653;F2X652;F2X649;F1CCQ9;F1CCQ8;F1CCQ5;F1CCM4;E9NVH4;E9NVH1;E3Q0T3;E0WN73;D9IFR0;D3UTA6;D2DL42;D2D3I2;D2D3I0;D2D3H9;D2D3H8;D2D3H7;D2D3H5;D2D3H2;D2D3H1;D2D3H0;D2D3G9;D2D3G3;D0VE51;C8ZLD6;C8CJD7;C8C9W2;C8C9V5;C5E7P4;C0LAB7;B3GDG5;A9YQ96;A8YQE8;A8C5I7;A7UP01;A0AQZ4;A0AQY8;A0AQY6;A0AQY5;A0AQY4;Q30103;U3PUN8;Q56FN8,3;3;3;3;3;3;3;3;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2,1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1,0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,,HLA-DRB1;HLA-DRB;HLA-DR4I;HLA-DRB4;HLA-DRBI,>tr|Q3LAC1|Q3LAC1_HUMAN MHC class II antigen (Fragment) OS=Homo sapiens GN=HLA-DRB1 PE=4 SV=1;>tr|Q3LAC0|Q3LAC0_HUMAN MHC class II antigen (Fragment) OS=Homo sapiens GN=HLA-DRB1 PE=4 SV=1;>tr|M1VNN5|M1VNN5_HUMAN HLA-DRB1 protein (Fragment) OS=Homo sapiens ,147,3,1,0,3,3,1,1,0,0,19.3,7.2,0,21.307,181,181;181;224;224;264;266;266;266;296;81;87;88;88;88;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;89;94;232;266,0,7.5477,0.60934,0.93902,6.7071,2,0,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,0,Median,19.3,19.3,69387000,43260000,26127000,39517000,25090000,14427000,29870000,18170000,11700000,,,,21,2909;6323;8302,True;False;False,2972;6499;8528,8474;8475;19092;19093;19094;25341;25342,12961;12962;29149;29150;29151;38469;38470;38471;38472,12961;29149;38469,,,,
A8KAC4;Q14678;Q86TE2;Q5W0W1;Q6PIB3;A8K1W3;Q14678-2;Q5W0W2;Q658S3;Q5W0W3;Q8WUM7,A8KAC4;Q14678;Q86TE2;Q5W0W1;Q6PIB3;A8K1W3;Q14678-2,7;7;6;6;5;5;5;1;1;1;1,7;7;6;6;5;5;5;1;1;1;1,7;7;6;6;5;5;5;1;1;1;1,KN motif and ankyrin repeat domain-containing protein 1,KANK1;DKFZp451G231,">tr|A8KAC4|A8KAC4_HUMAN cDNA FLJ78754, highly similar to Homo sapiens ankyrin repeat domain 15 (ANKRD15), transcript variant 1, mRNA OS=Homo sapiens PE=2 SV=1;>sp|Q14678|KANK1_HUMAN KN motif and ankyrin repeat domain-containing protein 1 OS=Homo sapiens GN",11,7,7,7,7,3,7,3,7,3,5.5,5.5,5.5,147.29,1352,1352;1352;966;978;1194;1194;1194;283;352;352;784,0,45.637,0.6399,0.93898,52.352,9,0,Median,0.71367,1.1326,57.352,6,0,Median,0.54692,0.93898,50.974,3,0,Median,5.5,2.3,195480000,110860000,84622000,96353000,54107000,42246000,99131000,56754000,42376000,,,,185,78;1952;4542;4559;5872;6138;8105,True;True;True;True;True;True;True,79;2001;4650;4667;6041;6312;8328,191;192;193;194;5875;13735;13788;17717;18507;18508;24812;24813;24814;24815;24816,289;290;291;292;9082;21217;21292;27084;28272;28273;37717;37718;37719;37720;37721;37722,289;9082;21217;21292;27084;28272;37722,,,,
P15121;Q59EL5;E9PCX2;E9PEF9;A4D1P0;C9JRZ8-2;C9JRZ8,P15121;Q59EL5;E9PCX2;E9PEF9,4;3;3;2;1;1;1,4;3;3;2;1;1;1,4;3;3;2;1;1;1,Aldose reductase,AKR1B1,">sp|P15121|ALDR_HUMAN Aldose reductase OS=Homo sapiens GN=AKR1B1 PE=1 SV=3;>tr|Q59EL5|Q59EL5_HUMAN Aldo-keto reductase family 1, member B1 variant (Fragment) OS=Homo sapiens PE=2 SV=1;>tr|E9PCX2|E9PCX2_HUMAN Aldose reductase OS=Homo sapiens GN=AKR1B1 PE=2 ",7,4,4,4,3,2,3,2,3,2,11.1,11.1,11.1,35.853,316,316;260;263;102;362;316;344,0,23.546,0.67817,0.93866,9.3047,5,0,Median,0.63071,0.93866,12.011,3,0,Median,0.71142,0.94467,4.8606,2,0,Median,8.5,6,120990000,74829000,46162000,95395000,60354000,35041000,25597000,14476000,11121000,,,,1067,4514;6713;7336;7455,True;True;True;True,4621;6893;7530;7652,13616;20152;20153;22094;22399,21044;30669;30670;30671;30672;33598;34082;34083,21044;30669;33598;34082,,,,
Q9UMU8;B1AK20;Q5TH61;B4DGD5;F5H1N1;B4DPK2;Q9NVH1-3;Q9NVH1-2;Q9NVH1,Q9UMU8;B1AK20;Q5TH61;B4DGD5;F5H1N1;B4DPK2;Q9NVH1-3;Q9NVH1-2;Q9NVH1,1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1,1;1;1;1;1;1;1;1;1,DnaJ homolog subfamily C member 11,DNAJC11,>tr|Q9UMU8|Q9UMU8_HUMAN DnaJ homolog subfamily C member 11 OS=Homo sapiens GN=DNAJC11 PE=2 SV=1;>tr|B1AK20|B1AK20_HUMAN DnaJ homolog subfamily C member 11 (Fragment) OS=Homo sapiens GN=DNAJC11 PE=2 SV=1;>tr|Q5TH61|Q5TH61_HUMAN DnaJ homolog subfamily C memb,9,1,1,1,1,1,1,1,1,1,3.8,3.8,3.8,35.61,318,318;324;332;469;521;521;507;521;559,0.0035386,6.6209,0.59011,0.93829,24.704,2,0,Median,NaN,NaN,NaN,1,0,Median,NaN,NaN,NaN,1,0,Median,3.8,3.8,13261000,8289100,4972300,8504200,5531100,2973200,4757200,2758000,1999100,,,,221,2446,TRUE,2502,7103;7104,10853;10854;10855;10856,10853,,,,
Q53FX5;Q9NUP9;H0YI92;G3V1D4;H0YIA8;O14910,Q53FX5;Q9NUP9;H0YI92;G3V1D4;H0YIA8;O14910,2;2;1;1;1;1,2;2;1;1;1;1,2;2;1;1;1;1,Protein lin-7 homolog C;Protein lin-7 homolog A,LIN7C;LIN7A,>tr|Q53FX5|Q53FX5_HUMAN Lin-7 homolog C variant (Fragment) OS=Homo sapiens PE=2 SV=1;>sp|Q9NUP9|LIN7C_HUMAN Protein lin-7 homolog C OS=Homo sapiens GN=LIN7C PE=1 SV=1;>tr|H0YI92|H0YI92_HUMAN Protein lin-7 homolog A (Fragment) OS=Homo sapiens GN=LIN7A PE=4 ,6,2,2,2,0,2,0,2,0,2,12.7,12.7,12.7,21.82,197,197;197;130;173;180;233,0,11.885,0.60002,0.93795,0.88915,2,0,Median,NaN,NaN,NaN,0,0,Median,0.60002,0.93795,0.88915,2,0,Median,0,12.7,33311000,18290000,15022000,0,0,0,33311000,18290000,15022000,,,,1313,699;3296,True;True,712;3369,2033;9794,3115;15107;15108,3115;15107,,,,
Q53GJ8;Q53FX9;P82912-2;P82912;H0YL99;P82912-3,Q53GJ8;Q53FX9;P82912-2;P82912;H0YL99;P82912-3,2;2;2;2;1;1,2;2;2;2;1;1,2;2;2;2;1;1,"28S ribosomal protein S11, mitochondrial",MRPS11,>tr|Q53GJ8|Q53GJ8_HUMAN Mitochondrial ribosomal protein S11 isoform a variant (Fragment) OS=Homo sapiens PE=2 SV=1;>tr|Q53FX9|Q53FX9_HUMAN Mitochondrial ribosomal protein S11 isoform a variant (Fragment) OS=Homo sapiens PE=2 SV=1;>sp|P82912-2|RT11_HUMAN Is,6,2,2,2,2,2,2,2,2,2,14.4,14.4,14.4,20.665,194,194;194;193;194;118;161,0,20.618,0.67736,0.93752,8.439,6,0,Median,0.68445,0.91469,5.0396,3,0,Median,0.67036,0.96092,12.354,3,0,Median,14.4,14.4,65818000,38125000,27692000,39928000,22986000,16941000,25890000,15139000,10751000,,,,1220,3729;3767,True;True,3816;3855,11081;11082;11180;11181;11182;11183,17103;17104;17250;17251;17252;17253;17254;17255;17256;17257;17258,17103;17250,,,,
